10000	35	31	0.861111	0.885714	0.873239	30	0.857142857
20000	35	31	0.885714	0.885714	0.885714	31	0.885714286
30000	35	32	0.914286	0.914286	0.914286	32	0.914285714
40000	35	32	0.914286	0.914286	0.914286	32	0.914285714
50000	35	33	0.916667	0.942857	0.929577	32	0.914285714
60000	35	33	0.916667	0.942857	0.929577	32	0.914285714
70000	35	33	0.916667	0.942857	0.929577	32	0.914285714
80000	35	32	0.888889	0.914286	0.901408	32	0.914285714
90000	35	33	0.891892	0.942857	0.916667	32	0.914285714
100000	35	33	0.891892	0.942857	0.916667	31	0.885714286
200000	35	33	0.891892	0.942857	0.916667	31	0.885714286
