10000	10	9	0.692308	0.9	0.782609	8
20000	10	9	0.692308	0.9	0.782609	9
30000	10	9	0.818182	0.9	0.857143	8
40000	10	9	0.75	0.9	0.818182	8
50000	10	8	0.8	0.8	0.8	8
60000	10	8	0.8	0.8	0.8	8
70000	10	8	0.8	0.8	0.8	8
80000	10	9	0.818182	0.9	0.857143	9
90000	10	9	0.9	0.9	0.9	9
100000	10	9	0.9	0.9	0.9	9
200000	10	9	0.9	0.9	0.9	9
10000	15	12	0.666667	0.8	0.727273	11
20000	15	13	0.8125	0.866667	0.83871	13
30000	15	13	0.8125	0.866667	0.83871	13
40000	15	13	0.866667	0.866667	0.866667	13
50000	15	13	0.866667	0.866667	0.866667	13
60000	15	13	0.866667	0.866667	0.866667	13
70000	15	14	0.875	0.933333	0.903226	13
80000	15	14	0.875	0.933333	0.903226	14
90000	15	14	0.875	0.933333	0.903226	14
100000	15	14	0.933333	0.933333	0.933333	14
200000	15	14	0.933333	0.933333	0.933333	14
10000	20	17	0.586207	0.85	0.693878	15
20000	20	18	0.857143	0.9	0.878049	18
30000	20	18	0.9	0.9	0.9	18
40000	20	19	0.791667	0.95	0.863636	18
50000	20	19	0.95	0.95	0.95	19
60000	20	19	0.904762	0.95	0.926829	19
70000	20	19	0.76	0.95	0.844444	19
80000	20	19	0.95	0.95	0.95	19
90000	20	19	0.863636	0.95	0.904762	19
100000	20	19	0.863636	0.95	0.904762	18
200000	20	18	0.818182	0.9	0.857143	18
10000	25	20	0.625	0.8	0.701754	18
20000	25	20	0.666667	0.8	0.727273	19
30000	25	22	0.709677	0.88	0.785714	20
40000	25	23	0.821429	0.92	0.867925	22
50000	25	24	0.8	0.96	0.872727	23
60000	25	24	0.774194	0.96	0.857143	22
70000	25	23	0.71875	0.92	0.807018	22
80000	25	24	0.8	0.96	0.872727	22
90000	25	24	0.923077	0.96	0.941176	23
100000	25	24	0.888889	0.96	0.923077	22
200000	25	24	0.857143	0.96	0.90566	23
10000	30	24	0.55814	0.8	0.657534	21
20000	30	24	0.6	0.8	0.685714	22
30000	30	26	0.565217	0.866667	0.684211	23
40000	30	27	0.692308	0.9	0.782609	26
50000	30	27	0.642857	0.9	0.75	26
60000	30	27	0.794118	0.9	0.84375	27
70000	30	27	0.794118	0.9	0.84375	26
80000	30	28	0.777778	0.933333	0.848485	27
90000	30	27	0.794118	0.9	0.84375	27
100000	30	27	0.72973	0.9	0.80597	27
200000	30	27	0.84375	0.9	0.870968	27
10000	35	28	0.622222	0.8	0.7	24
20000	35	32	0.64	0.914286	0.752941	25
30000	35	29	0.604167	0.828571	0.698795	26
40000	35	31	0.62	0.885714	0.729412	29
50000	35	30	0.638298	0.857143	0.731707	27
60000	35	30	0.638298	0.857143	0.731707	29
70000	35	31	0.688889	0.885714	0.775	29
80000	35	31	0.756098	0.885714	0.815789	29
90000	35	31	0.738095	0.885714	0.805195	29
100000	35	30	0.75	0.857143	0.8	29
200000	35	32	0.761905	0.914286	0.831169	29
10000	40	33	0.66	0.825	0.733333	29
20000	40	37	0.711538	0.925	0.804348	30
30000	40	34	0.68	0.85	0.755556	31
40000	40	36	0.666667	0.9	0.765957	32
50000	40	36	0.705882	0.9	0.791209	33
60000	40	36	0.72	0.9	0.8	32
70000	40	36	0.679245	0.9	0.774194	33
80000	40	36	0.734694	0.9	0.808989	34
90000	40	35	0.76087	0.875	0.813953	32
100000	40	36	0.782609	0.9	0.837209	33
200000	40	36	0.782609	0.9	0.837209	34
10000	45	41	0.640625	0.911111	0.752294	36
20000	45	42	0.763636	0.933333	0.84	35
30000	45	40	0.701754	0.888889	0.784314	36
40000	45	40	0.701754	0.888889	0.784314	34
50000	45	42	0.75	0.933333	0.831683	38
60000	45	42	0.792453	0.933333	0.857143	38
70000	45	41	0.759259	0.911111	0.828283	37
80000	45	42	0.688525	0.933333	0.792453	37
90000	45	41	0.788462	0.911111	0.845361	38
100000	45	43	0.781818	0.955556	0.86	39
200000	45	43	0.728814	0.955556	0.826923	39
10000	50	47	0.671429	0.94	0.783333	39
20000	50	46	0.766667	0.92	0.836364	43
30000	50	45	0.75	0.9	0.818182	40
40000	50	45	0.725806	0.9	0.803571	41
50000	50	48	0.774194	0.96	0.857143	42
60000	50	48	0.8	0.96	0.872727	43
70000	50	46	0.766667	0.92	0.836364	44
80000	50	47	0.734375	0.94	0.824561	43
90000	50	46	0.779661	0.92	0.844037	44
100000	50	50	0.757576	1	0.862069	44
200000	50	49	0.777778	0.98	0.867257	45
10000	100	97	0.808333	0.97	0.881818	93
20000	100	98	0.875	0.98	0.924528	95
30000	100	99	0.9	0.99	0.942857	95
40000	100	100	0.892857	1	0.943396	97
50000	100	99	0.925234	0.99	0.956522	98
60000	100	98	0.924528	0.98	0.951456	98
70000	100	100	0.961538	1	0.980392	97
80000	100	99	0.942857	0.99	0.965854	97
90000	100	99	0.933962	0.99	0.961165	97
100000	100	100	0.925926	1	0.961538	97
200000	100	99	0.961165	0.99	0.975369	98
10000	200	200	0.248447	1	0.39801	172
20000	200	200	0.493827	1	0.661157	183
30000	200	200	0.706714	1	0.828157	183
40000	200	200	0.704225	1	0.826446	187
50000	200	200	0.711744	1	0.831601	189
60000	200	200	0.766284	1	0.867679	190
70000	200	200	0.77821	1	0.875274	193
80000	200	200	0.803213	1	0.890869	193
90000	200	200	0.816327	1	0.898876	192
100000	200	200	0.796813	1	0.886918	194
200000	200	200	0.892857	1	0.943396	196
10000	300	error
20000	300	299	0.195809	0.996667	0.327313	255
30000	300	298	0.357314	0.993333	0.525573	263
40000	300	299	0.441003	0.996667	0.611452	262
50000	300	300	0.416667	1	0.588235	264
60000	300	300	0.526316	1	0.689655	270
70000	300	300	0.561798	1	0.719424	275
80000	300	300	0.534759	1	0.696864	275
90000	300	298	0.596	0.993333	0.745	275
100000	300	299	0.602823	0.996667	0.751256	279
200000	300	300	0.688073	1	0.815217	285
10000	400	error
20000	400	398	0.0861099	0.995	0.158503	328
30000	400	399	0.180461	0.9975	0.30563	333
40000	400	398	0.244472	0.995	0.392505	333
50000	400	399	0.291454	0.9975	0.451102	344
60000	400	399	0.39156	0.9975	0.562368	350
70000	400	400	0.404858	1	0.576369	351
80000	400	400	0.413223	1	0.584795	352
90000	400	400	0.469484	1	0.638978	355
100000	400	400	0.469484	1	0.638978	358
200000	400	400	0.645161	1	0.784314	373
10000	500	error
20000	500	error
30000	500	error
40000	500	500	0.0692521	1	0.129534	412
50000	500	500	0.14455	1	0.252589	426
60000	500	500	0.301568	1	0.463392	437
70000	500	500	0.258532	1	0.410846	439
80000	500	500	0.299043	1	0.460405	445
90000	500	500	0.4	1	0.571429	443
100000	500	500	0.360231	1	0.529661	445
200000	500	500	0.561798	1	0.719424	458
10000	1000	error
20000	1000	error
30000	1000	error
40000	1000	error
50000	1000	error
60000	1000	error
70000	1000	error
80000	1000	error
90000	1000	error
100000	1000	error
200000	1000	1000	0.209205	1	0.346021	905
