80000	300	error
90000	300	300	0.0137982	1	0.0272208	155
100000	300	300	0.012646	1	0.0249761	158
200000	300	288	0.183791	0.96	0.308516	160
10000	400	error
20000	400	error
30000	400	error
40000	400	error
50000	400	error
60000	400	error
70000	400	error
80000	400	error
90000	400	error
100000	400	error
200000	400	400	0.00975158	1	0.0193148	195
10000	500	error
20000	500	error
30000	500	error
40000	500	error
50000	500	error
60000	500	error
70000	500	error
80000	500	error
90000	500	error
100000	500	error
200000	500	error
10000	1000	error
20000	1000	error
30000	1000	error
40000	1000	error
50000	1000	error
60000	1000	error
70000	1000	error
80000	1000	error
90000	1000	error
100000	1000	error
200000	1000	error
