1000	452813	733	5990	124	454508	748	0.999757
2000	452813	733	51239	280	465760	718	0.999225
3000	452813	718	14844	141	455977	752	0.99951
4000	452813	733	31672	234	459029	749	0.998917
5000	452813	750	54894	312	467883	749	0.998904
6000	452813	754	119501	327	476848	826	0.998357
7000	452813	760	49359	218	465857	764	0.998782
8000	452813	702	118942	312	480710	748	0.998302
9000	452813	718	112861	296	483489	733	0.998411
10000	452813	758	108185	312	472522	758	0.996699
11000	452813	761	138275	359	502642	762	0.998474
12000	452813	734	153302	359	485906	769	0.997812
13000	452813	742	128645	328	492489	749	0.998134
14000	452813	742	187508	484	518539	827	0.998147
15000	452813	735	131960	405	494804	811	0.998305
16000	452813	729	118147	359	472479	796	0.996407
17000	452813	748	104357	265	483837	805	0.998053
18000	452813	749	232162	468	508230	843	0.996393
19000	452813	758	154206	359	502667	866	0.997971
20000	452813	748	174439	406	506888	878	0.997761
