1000	452813	765	176816	468	442411	748	0.935094	0.93	0.884	0.945	0.8536	0.9
2000	452813	733	286811	500	430198	717	0.869644	0.9	0.766	0.769	0.7956	0.8513
3000	452813	873	321220	640	453996	718	0.885423	0.88	0.872	0.84	0.8146	0.7837
4000	452813	812	406214	655	443449	718	0.790381	0.72	0.808	0.695	0.731	0.7849
5000	452813	780	460900	717	461016	795	0.702655	0.47	0.702	0.712	0.7502	0.7889
6000	452813	733	456177	717	449905	702	0.765026	0.77	0.69	0.746	0.7036	0.7642
7000	452813	764	483700	780	432590	717	0.702979	0.73	0.64	0.686	0.6672	0.717
8000	452813	765	507545	920	471913	765	0.720693	0.69	0.624	0.746	0.7354	0.7758
9000	452813	951	543780	795	436821	702	0.490234	0.57	0.646	0.73	0.5924	0.5427
10000	452813	827	512032	951	452649	874	0.695717	0.63	0.594	0.702	0.6954	0.6837
11000	452813	858	585049	982	425229	717	0.308841	0.5	0.528	0.528	0.5134	0.5627
12000	452813	733	560169	780	436680	624	0.485980	0.46	0.564	0.668	0.4968	0.5852
13000	452813	765	586140	920	448667	967	0.432219	0.71	0.598	0.667	0.665	0.5917
14000	452813	718	623684	1014	479275	734	0.175762	0.46	0.506	0.718	0.5476	0.5499
15000	452813	733	610829	951	389900	748	0.145982	0.49	0.402	0.436	0.4374	0.5371
16000	452813	842	610102	1107	390372	889	0.291717	0.58	0.468	0.551	0.4458	0.5145
17000	452813	733	612744	1045	454423	702	0.461530	0.64	0.598	0.727	0.5554	0.6291
18000	452813	811	673241	1045	481898	796	-0.142880	0.39	0.466	0.46	0.5254	0.5725
19000	452813	795	641978	936	421812	686	0.082129	0.43	0.488	0.55	0.378	0.5535
20000	452813	842	642310	998	455641	748	0.291995	0.57	0.584	0.637	0.524	0.6094
