1000	452813	827	198947	483	449588	702	0.99616
2000	452813	827	179587	374	456208	733	0.996301
3000	452813	749	202135	390	438330	702	0.99517
4000	452813	764	249400	530	428688	764	0.994337
5000	452813	780	257394	484	395174	670	0.992769
6000	452813	811	265480	452	432763	686	0.994897
7000	452813	749	265664	468	425385	671	0.994141
8000	452813	811	279614	483	423693	780	0.994456
9000	452813	748	298131	562	432541	671	0.993925
10000	452813	811	329604	546	433490	687	0.99477
11000	452813	811	303104	515	393280	639	0.992098
12000	452813	749	321660	624	446039	702	0.995393
13000	452813	811	300137	561	403141	687	0.993169
14000	452813	749	331837	546	388763	717	0.992972
15000	452813	812	313142	546	411373	655	0.993088
16000	452813	842	349329	608	378378	624	0.992514
17000	452813	874	358833	609	451243	733	0.995031
18000	452813	874	338312	562	397270	702	0.993141
19000	452813	749	342128	578	373895	702	0.992786
20000	452813	749	357366	670	423791	686	0.994021
